team,self_previous_shot,player_position,home_game,location_x,points,location_y,shoot_player,time_from_last_shot,quarter,current_shot_outcome,home_team_name,away_team_name,player_position_name,shot_type_es,weekday,time_decimal,time_elapsed,distance_ft_to_basket,game_id,cell_x,cell_y,cell
ATL,Anotado,PF,Si,67,3,20,Paul Millsap,49,2,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,11.78333333,23.78333333,69.92138443,1,14,3,1403
ATL,Anotado,SG,Si,498,3,444,Tim Hardaway Jr.,13,2,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto pull-up de 49 '3pt corriendo,Jueves,12,24,667.1881294,1,106,88,10688
ATL,Fallido,PG,Si,886,2,257,Dennis Schroder,31,3,Anotado,Atlanta Hawks,Washington Wizards,Base,Bandeja,Jueves,0.25,24.25,922.5210025,1,189,51,18951
ATL,Anotado,SF,Si,868,3,475,Kent Bazemore,47,3,Fallido,Atlanta Hawks,Washington Wizards,Alero,Salto de salto,Jueves,1.033333333,25.03333333,989.4690495,1,186,94,18694
ATL,Fallido,PF,Si,871,2,246,Paul Millsap,24,3,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Bandeja,Jueves,1.433333333,25.43333333,905.0729252,1,186,49,18649
ATL,Anotado,PF,Si,642,3,262,Paul Millsap,67,3,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,2.55,26.55,693.4032016,1,137,52,13752
ATL,Fallido,PF,Si,868,2,257,Paul Millsap,58,3,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Bandeja,Jueves,3.516666667,27.51666667,905.24748,1,186,51,18651
ATL,Anotado,PG,Si,882,2,228,Dennis Schroder,40,3,Anotado,Atlanta Hawks,Washington Wizards,Base,Bandeja,Jueves,4.183333333,28.18333333,910.992865,1,189,45,18945
ATL,Anotado,SF,Si,691,3,100,Kent Bazemore,39,3,Anotado,Atlanta Hawks,Washington Wizards,Alero,Tiro de salto pullup,Jueves,4.833333333,28.83333333,698.1983959,1,148,19,14819
ATL,Anotado,PF,Si,838,2,74,Paul Millsap,38,3,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,5.466666667,29.46666667,841.2609583,1,179,14,17914
ATL,Anotado,PF,Si,838,2,174,Paul Millsap,41,3,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Disparo del banco pullup,Jueves,6.15,30.15,855.8738225,1,179,34,17934
ATL,Fallido,SF,Si,691,2,181,Kent Bazemore,20,3,Fallido,Atlanta Hawks,Washington Wizards,Alero,Tiro de salto pullup,Jueves,6.483333333,30.48333333,714.3122566,1,148,36,14836
ATL,Fallido,C,Si,888,2,250,Dwight Howard,22,3,Anotado,Atlanta Hawks,Washington Wizards,Centro,Remojar,Jueves,6.85,30.85,922.5204605,1,190,49,19049
ATL,Anotado,C,Si,804,2,235,Mike Muscala,34,3,Fallido,Atlanta Hawks,Washington Wizards,Centro,Tiro de salto flotante,Jueves,7.416666667,31.41666667,837.6401375,1,172,46,17246
ATL,Fallido,SF,Si,679,3,109,Kent Bazemore,21,3,Fallido,Atlanta Hawks,Washington Wizards,Alero,Paso atrÃ¡s en el salto de salto,Jueves,7.766666667,31.76666667,687.6932456,1,145,21,14521
ATL,Fallido,C,Si,866,2,410,Mike Muscala,43,3,Anotado,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,Jueves,8.483333333,32.48333333,958.1523887,1,185,81,18581
ATL,Anotado,SG,Si,878,2,230,Tim Hardaway Jr.,59,3,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Jr. 2 'Running Cuting,Jueves,9.466666667,33.46666667,907.6254734,1,188,45,18845
ATL,Anotado,G,Si,788,2,184,Malcolm Delaney,32,3,Fallido,Atlanta Hawks,Washington Wizards,Guardia,Paso atrÃ¡s en el salto de salto,Jueves,10,34,809.197133,1,168,36,16836
ATL,Fallido,SF,Si,670,3,385,Thabo Sefolosha,31,3,Anotado,Atlanta Hawks,Washington Wizards,Alero,Salto de salto,Jueves,10.51666667,34.51666667,772.7386363,1,143,76,14376
ATL,Anotado,SF,Si,878,2,231,Thabo Sefolosha,20,3,Anotado,Atlanta Hawks,Washington Wizards,Alero,Bandeja,Jueves,10.85,34.85,907.8793973,1,188,46,18846
ATL,Anotado,PF,Si,887,2,235,Paul Millsap,31,4,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Bandeja,Jueves,0.516666667,36.51666667,917.6023104,1,190,46,19046
ATL,Fallido,C,Si,809,2,66,Mike Muscala,28,4,Fallido,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,Jueves,0.983333333,36.98333333,811.6877478,1,173,13,17313
ATL,Fallido,PF,Si,650,3,184,Paul Millsap,21,4,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,1.333333333,37.33333333,675.5412645,1,139,36,13936
ATL,Anotado,SG,Si,878,2,248,Tim Hardaway Jr.,23,4,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Jr. 1 'Plazo de conducciÃ³n,Jueves,1.716666667,37.71666667,912.3530019,1,188,49,18849
ATL,Fallido,SG,Si,881,2,241,Tim Hardaway Jr.,1,4,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Jr.,Jueves,1.733333333,37.73333333,913.3684908,1,188,48,18848
ATL,Anotado,SG,Si,899,2,400,Tim Hardaway Jr.,37,4,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Jr. 15 'Step Back Jump Shot,Jueves,2.35,38.35,983.9720524,1,192,79,19279
ATL,Anotado,SG,Si,878,3,478,Tim Hardaway Jr.,18,4,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto de 3 puntos,Jueves,2.65,38.65,999.6839501,1,188,95,18895
ATL,Anotado,PF,Si,666,3,346,Paul Millsap,70,4,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,3.816666667,39.81666667,750.5144902,1,142,69,14269
ATL,Anotado,PF,Si,842,2,71,Paul Millsap,19,4,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,4.133333333,40.13333333,844.9881656,1,180,14,18014
ATL,Fallido,SG,Si,657,3,163,Tim Hardaway Jr.,5,4,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto de 25 '3 puntos,Jueves,4.216666667,40.21666667,676.9180157,1,140,32,14032
ATL,Anotado,PG,Si,853,2,338,Dennis Schroder,33,4,Anotado,Atlanta Hawks,Washington Wizards,Base,Conducir disparo de salto de banco flotante,Jueves,4.766666667,40.76666667,917.5254765,1,182,67,18267
ATL,Anotado,SG,Si,784,2,233,Tim Hardaway Jr.,51,4,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Jr. 11 'Jump flotante,Jueves,5.616666667,41.61666667,817.8905795,1,168,46,16846
ATL,Anotado,PF,Si,665,3,135,Paul Millsap,37,4,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,6.233333333,42.23333333,678.5646616,1,142,26,14226
ATL,Fallido,PG,Si,670,3,375,Dennis Schroder,43,4,Fallido,Atlanta Hawks,Washington Wizards,Base,Salto de salto,Jueves,6.95,42.95,767.8053139,1,143,74,14374
ATL,Fallido,PF,Si,882,2,261,Paul Millsap,16,4,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,CallejÃ³n,Jueves,7.216666667,43.21666667,919.807045,1,189,52,18952
ATL,Anotado,SF,Si,866,2,230,Thabo Sefolosha,33,4,Anotado,Atlanta Hawks,Washington Wizards,Alero,CondacciÃ³n conductora de los dedos,Jueves,7.766666667,43.76666667,896.0223212,1,185,45,18545
ATL,Anotado,C,Si,882,2,241,Mike Muscala,75,4,Anotado,Atlanta Hawks,Washington Wizards,Centro,Bandeja inversa,Jueves,9.016666667,45.01666667,914.3330903,1,189,48,18948
ATL,Anotado,F,Si,889,2,226,DeAndre Bembry,76,4,Anotado,Atlanta Hawks,Washington Wizards,Ala,Tiro de bandeja de corte,Jueves,10.28333333,46.28333333,917.2769484,1,190,45,19045
ATL,Anotado,C,Si,657,3,163,Mike Muscala,24,4,Anotado,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,Jueves,10.68333333,46.68333333,676.9180157,1,140,32,14032
ATL,Anotado,G,Si,696,2,233,Malcolm Delaney,25,4,Anotado,Atlanta Hawks,Washington Wizards,Guardia,Tiro de salto pullup,Jueves,11.1,47.1,733.965258,1,149,46,14946
ATL,Anotado,G,Si,711,3,68,Malcolm Delaney,47,4,Fallido,Atlanta Hawks,Washington Wizards,Guardia,Disparo del banco pullup,Jueves,11.88333333,47.88333333,714.2443559,1,152,13,15213
ATL,Fallido,C,No,890,2,274,Dwight Howard,4,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Centro,Bandeo,SÃ¡bado,1.133333333,1.133333333,931.222852,2,190,54,19054
ATL,Fallido,C,No,894,2,230,Dwight Howard,2,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Centro,Bandeo,SÃ¡bado,1.166666667,1.166666667,923.1121275,2,191,45,19145
ATL,Fallido,PF,No,868,2,212,Paul Millsap,22,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Salto de salto,SÃ¡bado,1.533333333,1.533333333,893.5144095,2,186,42,18642
ATL,Fallido,SG,No,817,2,95,Kyle Korver,29,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Escolta,Salto de salto,SÃ¡bado,2.016666667,2.016666667,822.5047112,2,175,18,17518
ATL,Fallido,SF,No,760,2,329,Kent Bazemore,22,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Alero,Salto de salto,SÃ¡bado,2.383333333,2.383333333,828.1551787,2,162,65,16265
ATL,Fallido,PG,No,858,2,259,Dennis Schroder,26,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Base,ConducciÃ³n de salto flotante,SÃ¡bado,2.816666667,2.816666667,896.2393653,2,183,51,18351
ATL,Anotado,SF,No,920,3,23,Kent Bazemore,30,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Alero,Salto de salto,SÃ¡bado,3.316666667,3.316666667,920.2874551,2,197,4,19704
ATL,Fallido,PG,No,838,2,164,Dennis Schroder,24,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Base,Salto de salto,SÃ¡bado,3.716666667,3.716666667,853.8969493,2,179,32,17932
ATL,Fallido,SG,No,905,2,81,Kyle Korver,5,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Tiro de salto pullup,SÃ¡bado,3.933333333,3.933333333,908.6176313,2,193,16,19316
ATL,Anotado,SG,No,650,3,266,Kyle Korver,41,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Salto de salto,SÃ¡bado,4.616666667,4.616666667,702.3218635,2,139,53,13953
ATL,Anotado,SF,No,890,2,77,Kent Bazemore,20,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Alero,Salto de salto,SÃ¡bado,4.95,4.95,893.324689,2,190,15,19015
ATL,Anotado,SG,No,689,2,274,Kyle Korver,36,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Salto de salto,SÃ¡bado,5.55,5.55,741.4829735,2,147,54,14754
ATL,Anotado,PF,No,890,2,264,Paul Millsap,19,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Bandeja inversa,SÃ¡bado,5.866666667,5.866666667,928.3296828,2,190,52,19052
ATL,Anotado,PF,No,814,2,192,Paul Millsap,57,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Tiro de salto de respuesta,SÃ¡bado,6.816666667,6.816666667,836.3372525,2,174,38,17438
ATL,Anotado,C,No,900,2,275,Mike Muscala,46,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Centro,Bandeja,SÃ¡bado,7.583333333,7.583333333,941.0765112,2,192,54,19254
ATL,Anotado,C,No,769,2,138,Mike Muscala,38,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Centro,Salto de salto,SÃ¡bado,8.216666667,8.216666667,781.2841993,2,164,27,16427
ATL,Anotado,PF,No,888,2,250,Kris Humphries,22,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Correr volcado,SÃ¡bado,8.583333333,8.583333333,922.5204605,2,190,49,19049
ATL,Anotado,SG,No,637,3,266,Tim Hardaway Jr.,30,1,Bloqueado,Philadelphia 76ers,Atlanta Hawks,Escolta,Tiro de salto de 25 '3 puntos,SÃ¡bado,9.083333333,9.083333333,690.3079023,2,136,53,13653
ATL,Bloqueado,G,No,661,3,128,Malcolm Delaney,19,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Guardia,Salto de salto,SÃ¡bado,9.4,9.4,673.2792883,2,141,25,14125
ATL,Anotado,SG,No,873,2,272,Tim Hardaway Jr.,44,1,Bloqueado,Philadelphia 76ers,Atlanta Hawks,Escolta,Jr. 3 'TOTO DE CUTA CORTE,SÃ¡bado,10.13333333,10.13333333,914.3921478,2,187,54,18754
ATL,Bloqueado,SG,No,676,3,110,Tim Hardaway Jr.,26,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Escolta,Tiro de salto de 25 '3 puntos,SÃ¡bado,10.56666667,10.56666667,684.8912322,2,144,21,14421
ATL,Fallido,SG,No,888,2,250,Tim Hardaway Jr.,31,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Jr. Running Dunk,SÃ¡bado,11.08333333,11.08333333,922.5204605,2,190,49,19049
ATL,Anotado,SG,No,637,3,250,Tim Hardaway Jr.,4,1,Fallido,Philadelphia 76ers,Atlanta Hawks,Escolta,Tiro de salto de 25 '3 puntos,SÃ¡bado,11.15,11.15,684.301834,2,136,49,13649
ATL,Fallido,C,No,888,2,250,Mike Muscala,23,1,Anotado,Philadelphia 76ers,Atlanta Hawks,Centro,Correr volcado,SÃ¡bado,11.53333333,11.53333333,922.5204605,2,190,49,19049
ATL,Anotado,SG,No,725,2,215,Tim Hardaway Jr.,31,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Escolta,JR. 17 'Jump Shot,SÃ¡bado,0.266666667,12.26666667,756.2076434,2,155,42,15542
ATL,Fallido,SG,No,895,2,250,Tim Hardaway Jr.,19,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Jr. 1 'ConducciÃ³n de bandeja inversa,SÃ¡bado,0.583333333,12.58333333,929.2604586,2,191,49,19149
ATL,Anotado,G,No,725,2,262,Malcolm Delaney,32,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Guardia,Salto de salto,SÃ¡bado,1.116666667,13.11666667,770.8884485,2,155,52,15552
ATL,Fallido,C,No,647,3,143,Mike Muscala,32,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Centro,Salto de salto,SÃ¡bado,1.65,13.65,662.6145184,2,138,28,13828
ATL,Fallido,SF,No,899,2,74,Kent Bazemore,77,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Alero,Salto de salto,SÃ¡bado,2.933333333,14.93333333,902.0404647,2,192,14,19214
ATL,Fallido,SF,No,838,2,264,Kent Bazemore,41,2,Bloqueado,Philadelphia 76ers,Atlanta Hawks,Alero,Salto de salto,SÃ¡bado,3.616666667,15.61666667,878.6011609,2,179,52,17952
ATL,Bloqueado,C,No,866,2,254,Dwight Howard,37,2,Bloqueado,Philadelphia 76ers,Atlanta Hawks,Centro,Bandeo,SÃ¡bado,4.233333333,16.23333333,902.4810247,2,185,50,18550
ATL,Bloqueado,PG,No,878,2,256,Dennis Schroder,5,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Base,CondacciÃ³n conductora de los dedos,SÃ¡bado,4.316666667,16.31666667,914.5600035,2,188,51,18851
ATL,Anotado,SF,No,886,2,274,Kent Bazemore,36,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Alero,Bandeja inversa,SÃ¡bado,4.916666667,16.91666667,927.4006685,2,189,54,18954
ATL,Anotado,SG,No,689,3,117,Kyle Korver,20,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Escolta,Running Pull-Up Jump Shot,SÃ¡bado,5.25,17.25,698.8633629,2,147,23,14723
ATL,Fallido,SG,No,630,3,257,Kyle Korver,68,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Salto de salto,SÃ¡bado,6.383333333,18.38333333,680.4035567,2,135,51,13551
ATL,Anotado,PG,No,671,3,153,Dennis Schroder,29,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Base,Salto de salto,SÃ¡bado,6.866666667,18.86666667,688.2223478,2,143,30,14330
ATL,Fallido,PF,No,824,2,279,Paul Millsap,20,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Tiro de salto pullup,SÃ¡bado,7.2,19.2,869.9522975,2,176,55,17655
ATL,Fallido,SG,No,920,3,15,Kyle Korver,51,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Salto de salto,SÃ¡bado,8.05,20.05,920.1222745,2,197,2,19702
ATL,Anotado,C,No,743,2,280,Mike Muscala,30,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Centro,Tiro de salto de respuesta,SÃ¡bado,8.55,20.55,794.0081864,2,159,55,15955
ATL,Anotado,PF,No,890,2,248,Paul Millsap,27,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Bandeja inversa,SÃ¡bado,9,21,923.9069217,2,190,49,19049
ATL,Fallido,SG,No,890,2,238,Kyle Korver,18,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Escolta,Toco de la bandeja de rollo de dedo,SÃ¡bado,9.3,21.3,921.2730323,2,190,47,19047
ATL,Anotado,C,No,881,2,323,Mike Muscala,25,2,Anotado,Philadelphia 76ers,Atlanta Hawks,Centro,Salto de salto,SÃ¡bado,9.716666667,21.71666667,938.3442865,2,188,64,18864
ATL,Anotado,PF,No,637,3,267,Kris Humphries,51,2,Fallido,Philadelphia 76ers,Atlanta Hawks,Ala pivot,Salto de salto,SÃ¡bado,10.56666667,22.56666667,690.693854,2,136,53,13653
